storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storecountry,storephone,latlonlocation,latlonlocationdv
BRIDGER AUTO PARTS INC.,CarQuest,1000605,213 S. MAIN STREET,BRIDGER,MT,59014,USA,4066623282,"45.29443,-108.91375","45.29443,-108.91375"
CARQUEST,CarQuest,1000814,547 US HWY 12,ORTONVILLE,MN,56278,USA,3208392437,"45.2956743179225,-96.4460914501373","45.2956743179225,-96.4460914501373"
CARQUEST,CarQuest,1001328,550 MCALLISTER DR,SAINT JOHN,NB,E2J 4N9,CAN,5066334140,"45.30133,-66.00688","45.30133,-66.00688"
CARQUEST,CarQuest,1000713,1516 S BRIDGE STREET,CHARLEVOIX,MI,49720,USA,2315477069,"45.30197,-85.26233","45.30197,-85.26233"
CARQUEST,CarQuest,1001315,200 ST JOSEPH,ST-JEAN,QC,J3B 1W7,CAN,4503487383,"45.31403,-73.26127","45.31403,-73.26127"
PIECES & PEINTURE D'AUTOS PARIS,CarQuest,1001877,90 BOUL ST-LAURENT,BEAUHARNOIS,QC,J6N 1V7,CAN,4504293095,"45.31517,-73.87543","45.31517,-73.87543"
CARQUEST,CarQuest,1001154,8 CLEOPATRA DRIVE,NEPEAN,ON,K2G 0B3,CAN,6132259221,"45.32668,-75.72077","45.32668,-75.72077"
Advance Auto Parts,CarQuest,1000337,26664 FALLBROOK AVE,WYOMING,MN,55092,USA,6514620162,"45.3280851892166,-92.9998982073582","45.3280851892166,-92.9998982073582"
OSCEOLA  AUTO PARTS LLC,CarQuest,1001838,933 240TH STREET,OSCEOLA,WI,54020,USA,7152944440,"45.34382,-92.64703","45.34382,-92.64703"
CARQUEST,CarQuest,1001267,54 GLENWOOD DRIVE,TRURO,NS,B2N 6W2,CAN,9028959795,"45.3508,-63.29039","45.3508,-63.29039"
ONAWAY,CarQuest,1001836,21621 M 68 HWY,ONAWAY,MI,49765,USA,9897334689,"45.35358,-84.24724","45.35358,-84.24724"
CARLS AUTO PARTS,CarQuest,1000644,30 RIVER ROAD,LINCOLN,ME,4457,USA,2077946778,"45.3538500218865,-68.5326099804253","45.3538500218865,-68.5326099804253"
PIECES & PEINTURE D'AUTOS PARIS,CarQuest,1001876,158 BOUL ST-JEAN-BAPTISTE,CHATEAUGUAY,QC,J6K 3B3,CAN,4506926781,"45.35492,-73.7176999","45.35492,-73.7176999"
D AND D AUTO PARTS,CarQuest,1001348,39 HIGHWAY 287,ENNIS,MT,59729,USA,4066824537,"45.36693,-111.73074","45.36693,-111.73074"
CARQUEST,CarQuest,1000895,4749 BOUL BOURQUE,SHERBROOKE,QC,J1N 2G6,CAN,8195699141,"45.37467,-71.98397","45.37467,-71.98397"
J AND R AUTO PARTS,CarQuest,1001600,535 KENNY DRIVE,WAUSAUKEE,WI,54177-0285,USA,7158565190,"45.3751029968262,-87.9535064697266","45.3751029968262,-87.9535064697266"
CARQUEST,CarQuest,1000896,2530 - 2532 RUE GALT OUEST,SHERBROOKE,QC,J1G 1L6,CAN,8198214467,"45.38683,-71.93597","45.38683,-71.93597"
Advance Auto Parts,CarQuest,1000247,17401 SE MCLOUGHLIN BLVD,MILWAUKIE,OR,97267,USA,5036597110,"45.39645,-122.61772","45.39645,-122.61772"
INDIAN RIVER,CarQuest,1001588,5731 M-68 HWY,INDIAN RIVER,MI,49749,USA,2312389369,"45.3972942765607,-84.5968191856017","45.3972942765607,-84.5968191856017"
Advance Auto Parts,CarQuest,1000456,17060 RUBEN LANE,SANDY,OR,97055,USA,5036687402,"45.3994134216114,-122.277666985156","45.3994134216114,-122.277666985156"
CARQUEST,CarQuest,1000908,535 PRINCIPALE,GRANBY,QC,J2G 2X3,CAN,4503784608,"45.4058599,-72.73811","45.4058599,-72.73811"
CARQUEST,CarQuest,1001308,1150 KING EST,SHERBROOKE,QC,J1G 1E4,CAN,8195696321,"45.40786,-71.86351","45.40786,-71.86351"
CARQUEST,CarQuest,1001175,1528 STAR TOP ROAD,OTTAWA,ON,K1B 3W6,CAN,6137495220,"45.41576,-75.61657","45.41576,-75.61657"
Advance Auto Parts,CarQuest,1001564,1528 STAR TOP ROAD,OTTAWA,ON,K1B 3W6,CAN,,"45.41576,-75.61657","45.41576,-75.61657"
CARQUEST,CarQuest,1000914,1110 RUE DOLLARD,LASALLE,QC,H8N 2N6,CAN,5143667575,"45.42502,-73.62431","45.42502,-73.62431"
CARQUEST,CarQuest,1000901,1005 INDUSTRIEL,CHAMBLY,QC,J3L 4C4,CAN,4506586627,"45.44129,-73.27154","45.44129,-73.27154"
BARBERO AUTO AND AG INC.,CarQuest,1000571,119 WEST WILSON,BROADUS,MT,59317,USA,4064362373,"45.4446050005812,-105.410275000032","45.4446050005812,-105.410275000032"
Advance Auto Parts,CarQuest,1000075,208 3RD STREET SOUTH,COLD SPRING,MN,56320,USA,3206857311,"45.451640000342,-94.45003","45.451640000342,-94.45003"
Advance Auto Parts,CarQuest,1000017,612 6TH AVENUE SW,ABERDEEN,SD,57401,USA,6052250820,"45.4590819690984,-98.4902249654565","45.4590819690984,-98.4902249654565"
CARQUEST,CarQuest,1000923,6496 RUE ST JACQUES,MONTREAL,QC,H4B 1T6,CAN,5144815695,"45.46175,-73.62278","45.46175,-73.62278"
PIECES D'AUTOS EXPERT,CarQuest,1001886,165 JEAN-PROULX,GATINEAU,QC,J8Z 1T4,CAN,8197773821,"45.46244,-75.73444","45.46244,-75.73444"
CLARK AUTO SUPPLY,CarQuest,1000867,103 WORDEN AVE EAST,LADYSMITH,WI,54848,USA,7155325574,"45.46344,-91.10076","45.46344,-91.10076"
CARQUEST,CarQuest,1000957,6220 SW ARCTIC DRIVE,BEAVERTON,OR,97005,USA,5036727278,"45.4752612335072,-122.778708830354","45.4752612335072,-122.778708830354"
CARQUEST,CarQuest,1001302,109 ST-JEAN BAPTISTE,RIGAUD,QC,J0P 1P0,CAN,4504514855,"45.47976,-74.29431","45.47976,-74.29431"
Advance Auto Parts,CarQuest,1000457,19375 SW TUALATIN VALLEY HWY,BEAVERTON,OR,97003,USA,5032599837,"45.494089988988,-122.869615001856","45.494089988988,-122.869615001856"
Advance Auto Parts,CarQuest,1000244,2120 E. POWELL BLVD,GRESHAM,OR,97080,USA,5036670800,"45.4943400001745,-122.409129999893","45.4943400001745,-122.409129999893"
Advance Auto Parts,CarQuest,1000245,4909 S.E. POWELL BLVD,PORTLAND,OR,97206,USA,5037771470,"45.49792,-122.61225","45.49792,-122.61225"
CARQUEST,CarQuest,1001305,10351 BOUL GOUIN OUEST,ROXBORO,QC,H8Y 1S1,CAN,5146842102,"45.50933,-73.80078","45.50933,-73.80078"
CM. PIECES D'AUTO INC.,CarQuest,1000873,"3789, CHEMIN OKA",ST-JOSEPH-DU-LAC,QC,J0N 1M0,CAN,4505980625,"45.5124799,-73.97761","45.5124799,-73.97761"
Advance Auto Parts,CarQuest,1000243,727 S.E. 122 AVE,PORTLAND,OR,97233,USA,5032531113,"45.5172,-122.53831","45.5172,-122.53831"
KCAP HAMPTON,CarQuest,1001636,409 WILLIAM BELL DRIVE,HAMPTON,NB,E5N 0A8,CAN,5068325154,"45.51834,-65.82543","45.51834,-65.82543"
CARQUEST,CarQuest,1000819,925 BOULEVARD STE-FOY,LONGUEUIL,QC,J4K 1V8,CAN,4506709550,"45.52133,-73.49768","45.52133,-73.49768"
GTC AUTO PARTS-MOBRIDGE,CarQuest,1001500,201 E GRAND CROSSING BLVD,MOBRIDGE,SD,57601,USA,6058453644,"45.5374300004502,-100.432252100269","45.5374300004502,-100.432252100269"
GROUPE AUTO LONGUEUIL COM,CarQuest,1001498,100 BOUL ROLAND THERRIEN,LONGUEUIL,QC,J4H 3V8,CAN,4506400809,"45.548801,-73.4967076","45.548801,-73.4967076"
CARQUEST,CarQuest,1001330,7636 NE SANDY BLVD,PORTLAND,OR,97213,USA,5032811866,"45.54997,-122.58408","45.54997,-122.58408"
LES ENTR J.G. BRETON INC,CarQuest,1001691,5255 BOUL. ARTHUR SAUVE,LAVAL OUEST,QC,H7R 3X4,CAN,4506272727,"45.55078,-73.86672","45.55078,-73.86672"
CARQUEST,CarQuest,1000898,221 BOUL. CARTIER,BELOEIL,QC,J3G 3R2,CAN,4504672846,"45.55332,-73.21493","45.55332,-73.21493"
PEINTURE DAUTO VALLIERES (2009) INC,CarQuest,1001859,"957, BERNARD PILON",BELOEIL,QC,J3G 1V7,CAN,(450) 467-0595,"45.55685,-73.22992","45.55685,-73.22992"
CARQUEST,CarQuest,1001320,4 ROUTE 249,WINDSOR,QC,J1S 2T7,CAN,8198453737,"45.5668776,-72.0113311","45.5668776,-72.0113311"
CARQUEST,CarQuest,1001324,1670 RUE EIFFEL SUITE 100,BOUCHERVILLE,QC,J4B 7W1,CAN,4506559050,"45.57004,-73.3889","45.57004,-73.3889"
CAMPBELL AUTO SUPPLY LLC,CarQuest,1000636,215 NORTH LAKE AVENUE,CRANDON,WI,54520,USA,7154783301,"45.57088,-88.90387","45.57088,-88.90387"
CARQUEST,CarQuest,1001314,540 SAUVE,ST EUSTACHE,QC,J7R 5A9,CAN,4504736800,"45.57269,-73.91421","45.57269,-73.91421"
CARQUEST,CarQuest,1000687,4488 RUE LAVAL,LAC MEGANTIC,QC,G6B 1C3,CAN,8195833450,"45.58152,-70.89104","45.58152,-70.89104"
CARQUEST,CarQuest,1000924,341 WESTVILLE RD,NEW GLASGOW,NS,B2H 2J6,CAN,9027521000,"45.5818299,-62.65857","45.5818299,-62.65857"
CARQUEST,CarQuest,1000922,4715 BLVD INDUSTRIEL,MONTREAL-NORD,QC,H1H 0A5,CAN,5143215917,"45.58994,-73.62536","45.58994,-73.62536"
CARQUEST,CarQuest,1000905,2875 DE LA CONCORDE,DUVERNAY/LAVAL,QC,H7E 2B5,CAN,4506613351,"45.59076,-73.67059","45.59076,-73.67059"
"THE DALLES AUTO PARTS, INC.",CarQuest,1002075,110 EAST 3RD STREET,THE DALLES,OR,97058,USA,5412961161,"45.599250013312,-121.179499985813","45.599250013312,-121.179499985813"
LES ENTREPRISES MARCEL CAYER 200,CarQuest,1001692,399 RUE PAPINEAU,PAPINEAUVILLE,QC,J0V1R0,CAN,8194276610,"45.61575,-75.03053","45.61575,-75.03053"
CARQUEST,CarQuest,1001271,5220 BOUL DES LAURENTIDES,LAVAL,QC,H7K 2J8,CAN,4506228840,"45.62192,-73.74743","45.62192,-73.74743"
CARQUEST,CarQuest,1001310,2350 DUMESNIL,ST-HYACINTHE,QC,J2S 6H7,CAN,4507745331,"45.62496,-72.96304","45.62496,-72.96304"
Advance Auto Parts,CarQuest,1000250,2507  NE ANDRESEN,VANCOUVER,WA,98661,USA,3608926650,"45.6413947446639,-122.600779556445","45.6413947446639,-122.600779556445"
CHEBOYGAN,CarQuest,1000855,122 S MAIN,CHEBOYGAN,MI,49721,USA,2316275691,"45.6415799911432,-84.4794299783477","45.6415799911432,-84.4794299783477"
PIECES D'AUTOS ACTON INC.,CarQuest,1001885,"756, RUE ROXTON",ACTON VALE,QC,J0H 1A0,CAN,4505467108,"45.64514,-72.57058","45.64514,-72.57058"
ST. PETER'S AUTOMOTIVE LIMITED,CarQuest,1002034,49 TOULOUSE STREET PO BOX 58,ST. PETER'S,NS,B0E 3B0,CAN,9025352666,"45.65458,-60.87198","45.65458,-60.87198"
Advance Auto Parts,CarQuest,1000261,1830 NORTH STEVENS,RHINELANDER,WI,54501,USA,7153625488,"45.65502,-89.39191","45.65502,-89.39191"
Advance Auto Parts,CarQuest,1000183,21 SYCAMORE STREET,MILLINOCKET,ME,4462,USA,2077238553,"45.6565099998154,-68.6888099951828","45.6565099998154,-68.6888099951828"
CARQUEST,CarQuest,1000727,111 OAK STREET,FREDERIC,WI,54837,USA,7153278575,"45.6592319987147,-92.4666737521599","45.6592319987147,-92.4666737521599"
CARQUEST,CarQuest,1001120,501 WEST PARK ST,LIVINGSTON,MT,59047,USA,4062221410,"45.65959,-110.56576","45.65959,-110.56576"
Advance Auto Parts,CarQuest,1000246,7209 NE HWY 99,VANCOUVER,WA,98665,USA,3606942574,"45.67459,-122.66207","45.67459,-122.66207"
Advance Auto Parts,CarQuest,1000339,11717 NE 78TH WAY,VANCOUVER,WA,98682,USA,,"45.67879,-122.5516","45.67879,-122.5516"
DIDIER 2.0 INC.,CarQuest,1001393,"2276, ROUTE MARIE-VICTORIN",VARENNES,QC,J3X 1R4,CAN,4509299999,"45.68407,-73.43622","45.68407,-73.43622"
CARQUEST,CarQuest,1000968,425 N 7TH AVE,BOZEMAN,MT,59715,USA,4065874233,"45.68409,-111.04683","45.68409,-111.04683"
Advance Auto Parts,CarQuest,1000232,148 SOUTH LAKE STREET,PHILLIPS,WI,54555,USA,7153392171,"45.691291809082,-90.4028472900391","45.691291809082,-90.4028472900391"
PIECES D'AUTO ST-FRANCOIS INC.,CarQuest,1001883,"90,RUE CHAPLEAU",TERREBONNE,QC,J6W 2T1,CAN,4504714101,"45.69216,-73.63127","45.69216,-73.63127"
"VALLEY AUTO SUPPLY, INC.",CarQuest,1002113,980 MAIN STREET,FORSYTH,MT,59327-0186,USA,4063462141,"45.7041854858398,-106.309257507324","45.7041854858398,-106.309257507324"
CARQUEST,CarQuest,1000824,17371 - 17381 RUE DE LA PAIX,MIRABEL,QC,J7J 1B3,CAN,4504204407,"45.7094,-73.93812","45.7094,-73.93812"
CARQUEST,CarQuest,1000822,52 RUE PRINCIPALE,ST-ANDRE AVELLIN,QC,J0V 1W0,CAN,8199832131,"45.72106,-75.05669","45.72106,-75.05669"
CARQUEST,CarQuest,1001318,1280 RUE DES SUREAUX,TERREBONNE,QC,J6X 4G4,CAN,4504921001,"45.7222747802734,-73.6573486328125","45.7222747802734,-73.6573486328125"
KCAP SUSSEX,CarQuest,1001637,78 WINTER STREET,SUSSEX,NB,E4E 5L5,CAN,5064334036,"45.7223207,-65.5058866","45.7223207,-65.5058866"
Advance Auto Parts,CarQuest,1000108,220 N 30TH STREET,ESCANABA,MI,49829,USA,9067890000,"45.747048,-87.089997","45.747048,-87.089997"
CARQUEST,CarQuest,1000962,2091 ROSEBUD DRIVE,BILLINGS,MT,59102,USA,4066561646,"45.75859,-108.56899","45.75859,-108.56899"
CARQUEST,CarQuest,1001329,2635 BELKNAP AVE,BILLINGS,MT,59107,USA,4062593376,"45.77083,-108.49019","45.77083,-108.49019"
CARQUEST,CarQuest,1000674,714 RUE DE MARTIGNY OUEST,ST JEROME,QC,J5L 1Z6,CAN,4504319999,"45.7773495,-74.0397","45.7773495,-74.0397"
BELGRADE AUTO PARTS INC,CarQuest,1000579,109 W. MAIN,BELGRADE,MT,59714,USA,4063887660,"45.7784350081485,-111.181459989945","45.7784350081485,-111.181459989945"
"NORWAY AUTO PARTS, INC.",CarQuest,1001829,101 SUNDANCE DRIVE,NORWAY,MI,49870-1172,USA,9065638220,"45.7933842241112,-87.9222246994271","45.7933842241112,-87.9222246994271"
CARQUEST,CarQuest,1000729,614 S COLUMBUS,GOLDENDALE,WA,98620,USA,5097733793,"45.81218,-120.8227","45.81218,-120.8227"
NORTHERN SUPPLY OF IRON MOUNTAIN,CarQuest,1001824,P.O. BOX 845,IRON MOUNTAIN,MI,49801,USA,9067742446,"45.8183937072754,-88.0695114135742","45.8183937072754,-88.0695114135742"
CARQUEST,CarQuest,1000961,1203 MAIN STREET,BILLINGS,MT,59105,USA,4062522000,"45.82027,-108.47","45.82027,-108.47"
CARQUEST,CarQuest,1000936,69 SOUTH ALBION STREET,AMHERST,NS,B4H 2W4,CAN,9026611263,"45.82069,-64.20685","45.82069,-64.20685"
RAY GODIN AUTO SUPPLIES,CarQuest,1001937,195 LAKE ST,PEMBROKE,ON,K8A 5M1,CAN,6137356875,"45.82615,-77.11841","45.82615,-77.11841"
GTC AUTO PARTS OF SPOONER,CarQuest,1001499,1024 RIVER STREET,SPOONER,WI,54801,USA,7156358754,"45.8281399997803,-91.887200000701","45.8281399997803,-91.887200000701"
CARQUEST,CarQuest,1000915,1283 BAS L'ASSOMPTION NORD,L'ASSOMPTION,QC,J5W 2H5,CAN,4505894764,"45.8312110900879,-73.4235305786133","45.8312110900879,-73.4235305786133"
STEPHENS AUTO SUPPLY,CarQuest,1002043,404 W 1ST,BIG TIMBER,MT,59011,USA,4069325136,"45.8328174481012,-109.958891321129","45.8328174481012,-109.958891321129"
CARQUEST,CarQuest,1001249,58105 COLUMBIA RIVER HWY,ST. HELENS,OR,97051,USA,5033975525,"45.8439107520284,-122.834787850549","45.8439107520284,-122.834787850549"
Advance Auto Parts,CarQuest,1000123,115 N 9TH STREET,GLADSTONE,MI,49837,USA,9064281833,"45.849069,-87.02148","45.849069,-87.02148"
CARQUEST,CarQuest,1000904,2585 RUE ST-PIERRE,DRUMMONDVILLE,QC,J2C 7H3,CAN,8194773811,"45.86624,-72.52225","45.86624,-72.52225"
MOUNTAIN WEST AUTOMOTIVE,CarQuest,1001798,3 S DIVISION,WHITEHALL,MT,59759,USA,4062873824,"45.86681,-112.09809","45.86681,-112.09809"
LES PIECES D'AUTOS T.D.G. INC.,CarQuest,1001696,1420 BOUL LEMIRE,DRUMMONDVILLE,QC,J2C 5A4,CAN,8194721195,"45.87251,-72.51363","45.87251,-72.51363"
OWENS AUTO PARTS,CarQuest,1001840,811 HWY 65 S,MORA,MN,55051,USA,3206793480,"45.8742756739977,-93.2895500883536","45.8742756739977,-93.2895500883536"
Advance Auto Parts,CarQuest,1000330,607 ELM STREET,WOODRUFF,WI,54568,USA,7153565595,"45.8911633693075,-89.7008352154724","45.8911633693075,-89.7008352154724"
THREE FORKS MOTOR SUPPLY,CarQuest,1002082,P.O. BOX 618,THREE FORKS,MT,59752,USA,4062853212,"45.8915405273438,-111.552360534668","45.8915405273438,-111.552360534668"
Advance Auto Parts,CarQuest,1000103,1062 E WALL ST,EAGLE RIVER,WI,54521,USA,7154797469,"45.9143,-89.23527","45.9143,-89.23527"
"FLORENCE AUTO PARTS, INC.",CarQuest,1001451,656 CENTRAL AVENUE,FLORENCE,WI,54121,USA,7155285800,"45.9224650148722,-88.2541349990613","45.9224650148722,-88.2541349990613"
"PARK FALLS AUTO SUPPLY, INC.",CarQuest,1001847,DBA PARK FALLS CARQUEST,PARK FALLS,WI,54552,USA,7157624488,"45.9341812133789,-90.4511337280273","45.9341812133789,-90.4511337280273"
CARQUEST,CarQuest,1001057,40 BISHOP DRIVE,FREDERICTON,NB,E3B 5C8,CAN,5064589731,"45.94593,-66.69292","45.94593,-66.69292"
FREDRICTON NORTH NB #6635,CarQuest,1001459,"520 BROOKSIDE DRIVE, UNIT F",FREDRICTON,NB,E3A 8V2,CAN,5064550111,"45.99242,-66.64891","45.99242,-66.64891"
CARQUEST,CarQuest,1000977,3639 HARRISON AVENUE,BUTTE,MT,59701,USA,4067234357,"46.0022096185415,-112.521620517388","46.0022096185415,-112.521620517388"
FARMERS UNION OIL CO,CarQuest,1001443,50 N FIRST STREET,ELLENDALE,ND,58436,USA,7013493280,"46.0025400023238,-98.52375","46.0025400023238,-98.52375"
Advance Auto Parts,CarQuest,1000133,15911 US HWY 63 SOUTH,HAYWARD,WI,54843,USA,7156342659,"46.0128350002617,-91.4848750006423","46.0128350002617,-91.4848750006423"
CARQUEST,CarQuest,1000911,500 DE LANAUDIERE,JOLIETTE,QC,J6E 3M4,CAN,4507551919,"46.02302,-73.4383299","46.02302,-73.4383299"
CARQUEST,CarQuest,1001309,217 FISET,SOREL,QC,J3P 3P8,CAN,4507422751,"46.04088,-73.0999","46.04088,-73.0999"
CARQUEST,CarQuest,1001319,321 RUE NOTRE-DAME OUEST,VICTORIAVILLE,QC,G6P 1S3,CAN,8197524551,"46.0581,-71.9665799","46.0581,-71.9665799"
JONES TRUCK AND IMPLEMENT,CarQuest,1001620,304 N. 9TH AVE,WALLA WALLA,WA,99362-1748,USA,5095256620,"46.0663,-118.3492","46.0663,-118.3492"
KELLY PIECES DAUTO INC,CarQuest,1001639,312 ROUTE 105,GRACEFIELD,QC,J0X 1W0,CAN,8194632940,"46.0785484,-76.0622065","46.0785484,-76.0622065"
COBDEN AUTO SUPPLY,CarQuest,1000874,BOUNDARY ROAD - P.O. BOX 179,COBDEN,ON,K0J 1K0,CAN,(613) 646-2094,"46.0867832,-77.4915216","46.0867832,-77.4915216"
IRON RIVER AUTO SUPPLY,CarQuest,1001592,25 WEST GENESEE STREET,IRON RIVER,MI,49935,USA,9062654815,"46.091467488528,-88.6393472450194","46.091467488528,-88.6393472450194"
CARQUEST,CarQuest,1001149,"140 EDMONTON AVE.,",MONCTON,NB,E1C3B9,CAN,5068538810,"46.09484,-64.80225","46.09484,-64.80225"
CARQUEST,CarQuest,1001248,15300 BOUL LACROIX,ST GEORGES DE BEAUCE,QC,G5Y 1R7,CAN,4182264417,"46.1062299,-70.65577","46.1062299,-70.65577"
CARQUEST,CarQuest,1001311,215 RUE LEONARD,MT-TREMBLANT,QC,J8E 3K1,CAN,8194253647,"46.11918,-74.59577","46.11918,-74.59577"
Advance Auto Parts,CarQuest,1000137,41 BANGOR ST,HOULTON,ME,4730,USA,2075322207,"46.1205177882199,-67.8499407515232","46.1205177882199,-67.8499407515232"
CARQUEST,CarQuest,1000938,920 E COMMERCIAL,ANACONDA,MT,59711,USA,4065635902,"46.126615,-112.9283","46.126615,-112.9283"
VISTOS CARQUEST,CarQuest,1002123,1009 S 7TH ST,OAKES,ND,58474,USA,7017422167,"46.128406555408,-98.0906317029608","46.128406555408,-98.0906317029608"
CARQUEST,CarQuest,1001256,539 GEORGE ST,SYDNEY,NS,B1P 1K8,CAN,9025644513,"46.13596,-60.19126","46.13596,-60.19126"
Advance Auto Parts,CarQuest,1000158,812 WASHINGTON WAY,LONGVIEW,WA,98632,USA,3606364600,"46.1405849884064,-122.9360799887","46.1405849884064,-122.9360799887"
R.E.C AUTO INC,CarQuest,1001926,68 SCOTT STREET,HARTFORD,NB,E7M 0C4,CAN,5063252223,"46.16772,-67.60933","46.16772,-67.60933"
PIECES ET ACCESSOIRES RIVE-SUD,CarQuest,1001888,1380 PRINCIPALE,ST-WENCESLAS,QC,G0Z 1J0,CAN,8195194800,"46.17275,-72.3346399","46.17275,-72.3346399"
CARQUEST,CarQuest,1000897,669 BOUL RENAULT,BEAUCEVILLE,QC,G5X 1L9,CAN,4187749866,"46.20278,-70.77292","46.20278,-70.77292"
CARQUEST,CarQuest,1001167,153 QUEEN STREET,NORTH SYDNEY,NS,B2A 3M1,CAN,9027944771,"46.20459,-60.25363","46.20459,-60.25363"
Advance Auto Parts,CarQuest,1000141,105 N. ELY STREET,KENNEWICK,WA,99336,USA,5093962582,"46.2138957633677,-119.158250556232","46.2138957633677,-119.158250556232"
ESTHETIQUE DE LAUTO INC.,CarQuest,1001433,435 BOUL INDUSTRIEL,EAST BROUGHTON,QC,G0N 1G0,CAN,4184275175,"46.22757,-71.06773","46.22757,-71.06773"
CARQUEST,CarQuest,1000696,1321 BOUL. LOUIS-FRECHETTE,NICOLET,QC,J3T 1Y9,CAN,8192934622,"46.23563,-72.6073","46.23563,-72.6073"
Advance Auto Parts,CarQuest,1000229,1325 W. COURT STREET,PASCO,WA,99301,USA,5094925128,"46.2412900018418,-119.09559","46.2412900018418,-119.09559"
WYNDMERE AUTO     CARQUEST PARTS,CarQuest,1002161,JUNCTION HWY 13 AND 18,WYNDMERE,ND,58081,USA,7014392259,"46.25608,-97.13512","46.25608,-97.13512"
CARQUEST,CarQuest,1000918,801 BLVD ST-LAURENT EST,LOUISEVILLE,QC,J5V 1J1,CAN,8192285521,"46.2584,-72.9168399","46.2584,-72.9168399"
CARQUEST,CarQuest,1000834,3885 HYW 13,WISHEK,ND,58495,USA,7014524200,"46.2591449672409,-99.5666145435931","46.2591449672409,-99.5666145435931"
CARQUEST,CarQuest,1001073,1130 NORTH FIRST,HAMILTON,MT,59840,USA,4063633113,"46.2602285165574,-114.157345969642","46.2602285165574,-114.157345969642"
CARQUEST,CarQuest,1000991,410 MOUNT EDWARD RD,CHARLOTTETOWN,PE,C1A 2E1,CAN,9025661198,"46.2766499,-63.14402","46.2766499,-63.14402"
PIECES D'AUTO ST-GAB (9378-5491),CarQuest,1001884,"300, RUE BEAUVILLIERS",SAINT-GABRIEL,QC,J0K 2N0,CAN,4508353333,"46.29557,-73.3763","46.29557,-73.3763"
CARQUEST,CarQuest,1001163,1376 HAMMOND ST,NORTH BAY,ON,P1B 2J3,CAN,7058401056,"46.31223,-79.44466","46.31223,-79.44466"
CARQUEST,CarQuest,1000690,317 MAIN STREET BOX 1160,MATTAWA,ON,P0H1V0,CAN,7057445546,"46.31871,-78.70522","46.31871,-78.70522"
LAMOURE PARTS CENTER INC,CarQuest,1001675,10210 HWY 13,LAMOURE,ND,58458,USA,7018835264,"46.354453,-98.283947","46.354453,-98.283947"
A M AUTO PARTS,CarQuest,1000009,44 MAIN STREET,SOURIS,PE,C0A 2B0,CAN,9026872844,"46.35581,-62.25912","46.35581,-62.25912"
CARQUEST,CarQuest,1000946,117 SOUTH FIRST STREET,BAKER,MT,59313,USA,4067783327,"46.360375,-104.27686","46.360375,-104.27686"
CARQUEST,CarQuest,1000900,245 RUE THIBEAU,TROIS-RIVIERES,QC,G8T 6X9,CAN,8193784857,"46.37148,-72.5352","46.37148,-72.5352"
SUMMERSIDE AUTO PARTS,CarQuest,1002052,66 WATER STREET,SUMMERSIDE,PE,C1N 1A5,CAN,9024364214,"46.39054,-63.77966","46.39054,-63.77966"
CARQUEST,CarQuest,1000906,3070 AVENUE DES HIRONDELLES,BECANCOUR,QC,G9H 4M6,CAN,8669983220,"46.39434,-72.26331","46.39434,-72.26331"
CARQUEST,CarQuest,1000691,2415 MAIN ST,MILES CITY,MT,59301,USA,4062321910,"46.40872,-105.82953","46.40872,-105.82953"
RUSH INTERNATIONAL TRUCK CENTER,CarQuest,1001976,529 22ND STREET NORTH,LEWISTON,ID,83501,USA,2087487100,"46.426167,-116.99906","46.426167,-116.99906"
Advance Auto Parts,CarQuest,1000316,717 W FIRST ST,WAPATO,WA,98951,USA,5098772896,"46.4478150018412,-120.42311999994","46.4478150018412,-120.42311999994"
GTC OF IRONWOOD INC,CarQuest,1001501,114 WEST AYER STREET,IRONWOOD,MI,49938,USA,9069320210,"46.4540999917754,-90.1714049922079","46.4540999917754,-90.1714049922079"
WINLOCK AUTO SUPPLY,CarQuest,1002157,110 E. WALNUT,WINLOCK,WA,98596,USA,3607854488,"46.4910800409925,-122.937119993968","46.4910800409925,-122.937119993968"
CARQUEST,CarQuest,1001307,375 12IEME AVENUE,SHAWINIGAN-SUD,QC,G9P 1Z6,CAN,8195365255,"46.525335,-72.7596851","46.525335,-72.7596851"
A AND A HARDWARE AND AUTO SUPPLY,CarQuest,1000007,15021 HWY M-28     PO BOX 49,BRUCE CROSSING,MI,49912,USA,9068273944,"46.5303595544277,-89.1218537724334","46.5303595544277,-89.1218537724334"
ATLAS AUTO PARTS,CarQuest,1000522,531 SECOND LINE E,SAULT STE MARIE,ON,P6B 4K2,CAN,7052546615,"46.53767,-84.32442","46.53767,-84.32442"
CARQUEST,CarQuest,1000916,1000 BOUL ST JOSEPH,LAURIER STATION,QC,G0S 1N0,CAN,4187283510,"46.54001,-71.63308","46.54001,-71.63308"
Advance Auto Parts,CarQuest,1000167,211 S FIFTH ST,MARQUETTE,MI,49855,USA,9062289211,"46.54294,-87.39967","46.54294,-87.39967"
TREPANIER PIECES D'AUTOS (2014),CarQuest,1002092,"412, PRINCIPALE",ST-NARCISSE,QC,G0X 2Y0,CAN,4183283908,"46.56313,-72.47209","46.56313,-72.47209"
Advance Auto Parts,CarQuest,1000338,511 SOUTH 3RD ST,YAKIMA,WA,98901,USA,5094535591,"46.59582,-120.49914","46.59582,-120.49914"
